William Murdoch;['historic piano performance']
Ralph Gomberg;['classical oboe']
Johannes Kuhlo;['classical trombone']
Earl Humphrey;['jazz trombone']
Marcella Pobbe;['italian soprano']
Marzieh;['classic persian pop', 'persian traditional']
Harry Shields;['jazz clarinet', 'new orleans jazz']
Johann Jakob Walther;['german baroque']
Emmett Berry;['jazz trumpet']
Robert Broberg;['classic swedish pop', 'danspunk']
Sherman Walt;['classical bassoon']
Eugene Stratton;['music hall']
James Alan Shelton;['bluegrass gospel']
John King;['contemporary country', 'country pop']
Jorge Reyes;['musica prehispanica', 'rock progresivo mexicano']
Jimmy Holiday;['deep southern soul']
Kostas Mountakis;['kritika']
Steve Jordan;['tejano']
Gus Williams;['australian indigenous']
Marika Ninou;['greek swing', 'rebetiko']
Billy Mure;['exotica', 'lounge']
Fitnete Rexha;['albanian folk']
Carlo Cossutta;['classical tenor', 'italian tenor']
Erhard Karkoschka;['german contemporary classical']
William Herschel;['classical era']
Zeb Turner;['country boogie']
Johnny Scott;['library music']
Adán Sánchez;['banda', 'corrido', 'deep regional mexican', 'norteno', 'regional mexican']
Asep Sunandar Sunarya;['sundanese traditional']
Dieter Zechlin;['german classical piano']
Robert Stevenson;['reading']
Faramarz Payvar;['persian traditional', 'santur']
Salil Chowdhury;['classic bollywood']
Doctor Clayton;['barrelhouse piano', 'traditional blues']
Dollar Bill;['brooklyn indie']
Giacomo Rimini;['italian baritone']
Flaviano Labò;['classical tenor', 'italian tenor']
Daniel Friderici;['german renaissance']
Alice Nielsen;['vaudeville']
Precious Bryant;['piedmont blues']
Ludwig Minkus;['post-romantic era']
Jakob Meiland;['german baroque']
Gisele MacKenzie;['deep adult standards']
Thomas Koppel;['danish contemporary classical']
Nino Bravo;['cantautor', 'pop romantico', 'spanish pop']
Dennis Hennig;['australian classical piano']
José Feghali;['brazilian classical piano']
Peter Gutteridge;['dunedin indie', 'dunedin sound']
Jane Froman;['torch song', 'vintage hollywood']
Vijay Raghav Rao;['bansuri', 'hindustani classical', 'hindustani instrumental', 'indian classical']
Frank Ferera;['vintage hawaiian']
Jorge Negrete;['bolero', 'mariachi', 'ranchera']
Jimmy Wyble;['vintage western']
Nicolae Sulac;['moldovan pop', 'muzica populara']
Barkat Sidhu;['punjabi folk']
Mikel Laboa;['basque folk', 'euskal rock']
Collin Walcott;['ecm-style jazz', 'sitar']
Fereydoun Farrokhzad;['classic persian pop']
Bobby Lee Trammell;['rockabilly', 'traditional rockabilly']
Tomaso Antonio Vitali;['baroque', 'italian baroque']
Mercy Dee Walton;['jump blues']
Samuel Arnold;['classical era']
Frank Valdor;['ballroom']
Hadj Menouar;['chaabi algerien']
Clark Gesner;['broadway']
Celestina Boninsegna;['italian soprano', 'vintage classical singing']
Tomás de Torrejón y Velasco;['latin american baroque', 'spanish baroque']
Ovila Légaré;['folklore quebecois']
Jean Vallée;['classic eurovision']
Luciano Cilio;['post-minimalism']
Eddie Bond;['neo-rockabilly', 'rock-and-roll', 'rockabilly']
Carlos Palenque;['folklore boliviano']
Ray Foxley;['dixieland']
Filippo Galli;['italian bass']
Leonard Rose;['classic soundtrack']
Margaret Singer;['gospel singers']
Luboš Fišer;['czech contemporary classical']
Pumpkin;['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock']
Johnny Cash;['arkansas country', 'outlaw country']
Francesco Mancini;['baroque', 'italian baroque']
Raul Torres;['trova']
Hōzan Yamamoto;['shakuhachi']
Andy Tielman;['indorock']
B. J. Baker;['ambient folk', 'art pop', 'indie folk', 'indie pop', 'indie rock']
Alex Welsh;['dixieland', 'scottish jazz']
Basil Kirchin;['british experimental', 'moog', 'spytrack', 'theme']
Augusto Martelli;['vintage italian soundtrack']
Sébastien de Brossard;['french baroque']
Gustav Winckler;['classic danish pop', 'dansktop']
Andreas Hallén;['swedish classical']
Eugen Malmstén;['sotalaulut', 'vintage finnish jazz']
George Alexander;['vaudeville']
Lovelace Watkins;['deep northern soul']
Peter Schmalfuss;['german classical piano']
Hugo Blanco;['classic venezuelan pop']
Samuel Dushkin;['historic classical performance']
Pier Miranda Ferraro;['italian tenor']
Jack Elliott;['american folk revival', 'appalachian folk', 'country rock', 'folk', 'traditional folk']
Dennis Taylor;['smooth soul']
Dorothy Fields;['tin pan alley']
Dharmadasa Walpola;['classic sinhala pop']
Aladdin;['broadway']
Ralph Rainger;['tin pan alley']
Chester Zardis;['new orleans jazz']
Carter Albrecht;['dallas indie']
Edward Johnson;['vintage radio show']
Tom Robb;['show tunes']
Dermot O'Reilly;['nl folk']
Virgilio Mortari;['early avant garde']
Jean Madeira;['classical mezzo-soprano']
Ramata Diakité;['desert blues', 'mande pop', 'musique mandingue', 'wassoulou']
Antonio de Almeida;['galante era', 'portuguese early music']
Victor Borge;['comic']
Roberto Szidon;['brazilian classical piano']
Gerry Goffin;['brill building pop']
Vincenzo La Scola;['italian tenor']
Maria Dimitriadi;['entehno']
General Johnson;['beach music']
Gordon Lorenz;['theme']
Caspar Othmayr;['german renaissance']
Jānis Mediņš;['baltic classical']
Don Rondo;['deep adult standards']
Jackie Brenston;['rock-and-roll']
J. R. Monterose;['jazz saxophone']
Victor Schiøler;['historic piano performance']
Joseph C. Smith;['vaudeville']
Scotty;['contemporary country', 'country', 'country road', 'modern country rock']
Nara Leão;['bossa nova', 'brazilian jazz', 'mpb', 'samba', 'tropicalia', 'velha guarda']
Hugo Richard Jüngst;['german romanticism']
Hadidjah;['gamelan']
Raoul Pugno;['historic piano performance']
Jean Ritchie;['american folk revival', 'appalachian folk', 'kentucky mountain folk', 'mountain dulcimer', 'old-time', 'string folk', 'traditional folk']
Libby Holman;['torch song', 'vintage swing']
Laura Lynn;['classic belgian pop', 'levenslied']
Gottfried Huppertz;['classic soundtrack', 'german soundtrack']
Charanjit Singh;['indian electronic']
Paul Jabara;['deep disco']
Rita Streich;['classical soprano', 'opera']
Nati Cano;['mariachi']
Hélène Baillargeon;['folklore quebecois']
Arno Babajanian;['caucasian classical']
August Nölck;['german romanticism']
Cali Carranza;['tejano']
Ernie Fields;['deep adult standards']
Ezio Flagello;['classical bass']
Larry Verne;['novelty']
Steve Race;['library music']
Tibor Harsányi;['hungarian classical piano']
Şenay;['pop venezolano']
V. Kumar;['deep indian pop', 'desi hip hop', 'filmi', 'tamil pop']
Tadeusz Szeligowski;['polish classical']
Jerry Fielding;['classic soundtrack', 'space age pop']
Rudi Schuricke;['classic schlager', 'vintage schlager']
Vanity;['dark clubbing', 'synthwave']
Rena Galibova;['tajik traditional']
Shailendra;['classic bollywood', 'filmi', 'ghazal']
Umm Kulthum;['arab folk', 'belly dance', 'classic arab pop']
Louis Glass;['danish classical', 'post-romantic era']
Gloria Lynne;['vocal jazz']
Lionel Newman;['classic soundtrack']
Markku Peltola;['new weird finland']
Tara Devi;['classic nepali pop', 'nepali pop']
Giuliano Ciannella;['italian tenor']
Sabu Martinez;['cuban rumba', 'latin jazz']
Andy Razaf;['tin pan alley']
Mitchell Parish;['tin pan alley']
Luiz Bonfá;['bossa nova', 'brazilian jazz', 'jazz guitar', 'samba-jazz', 'violao']
Louis Quilico;['classical baritone']
Cliff Friend;['tin pan alley']
John O'Banion;['yacht rock']
Marc Lavry;['israeli classical', 'oriental classical']
Roger Guérin;['french jazz']
Iris Loveridge;['british classical piano', 'historic piano performance']
Forbes Robinson;['classical bass']
Margie Rayburn;['deep adult standards']
Elinor Remick Warren;['american romanticism']
Homesick James;['blues', 'chicago blues', 'traditional blues']
Billy Thorpe;['australian rock']
Georg Wilhelm Rauchenecker;['german romanticism']
Armandinho;['brazilian reggae', 'brazilian rock', 'reggae gaucho', 'rock gaucho']
Charles Sanford Skilton;['american romanticism']
Con Conrad;['australian pop', 'australian talent show']
Oleksandr Bilash;['ukrainian classical']
Douglas Cummings;['cello']
Burton Lane;['broadway']
Frank Bencriscutto;['concert band']
Sasha Argov;['israeli classical', 'oriental classical']
Boris Christoff;['classical bass']
Bob Ricketts;['smooth saxophone']
Ann Ronell;['tin pan alley']
Sai Htee Saing;['burmese pop']
Andrés Segovia;['classical guitar', 'guitarra clasica', 'historic classical performance']
Marios Tokas;['cypriot pop', 'rebetiko']
Lars Erstrand;['jazz vibraphone', 'swedish jazz']
Alvin Alcorn;['new orleans jazz']
Emīls Dārziņš;['baltic classical']
Ginger Rogers;['vintage hollywood']
Ivo Vinco;['classical bass', 'italian bass']
Joe E. Lewis;['blues rock', 'deep new americana', 'funk', 'modern blues', 'modern blues rock', 'modern funk', 'punk blues']
Milú;['turbo folk']
Kurt Masur;['classical performance', 'orchestral performance']
Mark Ryan;['gospel reggae']
Robert Riefling;['nordic classical piano']
Ray Whitley;['cowboy western', 'vintage swoon', 'yodeling']
Gaither Carlton;['appalachian folk', 'clawhammer banjo', 'old-time']
Dinorá de Carvalho;['brazilian classical']
Aris San;['classic israeli pop', 'mizrahi']
Blind Alfred Reed;['appalachian folk', 'country gospel', 'vintage country folk', 'vintage old-time']
Joseph Ahrens;['austro-german modernism']
Count Ossie;['nyahbinghi']
Ludvig Birkedal-Barfod;['danish classical']
Dr Sir Warrior;['igbo traditional']
Grethe Kausland;['classic norwegian pop']
Blanche Marchesi;['vintage classical singing']
John H. Lee;['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'modern blues', 'soul', 'traditional blues']
Günter Kochan;['german contemporary classical']
Erik Schmedes;['vintage classical singing']
Emilinha Borba;['baiao', 'velha guarda']
Fiorello Giraud;['italian tenor']
Gunadasa Kapuge;['classic sinhala pop', 'sinhala pop']
Afro Poli;['italian baritone']
John Casimir;['jazz clarinet', 'new orleans jazz']
Carlos Azevedo;['portuguese contemporary classical']
Blanche Winogron;['harpsichord']
Lolita Sevilla;['copla', 'spanish classical']
Jack Marshall;['lounge']
Walter Rehberg;['historic piano performance']
Giovanni Antonio Rigatti;['italian baroque']
Alda Noni;['classical soprano', 'italian soprano', 'vintage schlager']
Fayza Ahmed;['classic arab pop', 'syrian pop']
Cy Touff;['jazz trumpet']
Elly Wamala;['ugandan pop']
Liz Lands;['deep motown']
Angelo Francesco Lavagnino;['vintage italian soundtrack']
Damon Edge;['synth punk']
Rolf Cahn;['american folk revival']
Don Law;['contemporary gospel', 'gospel']
Louie Ramirez;['jazz vibraphone', 'latin jazz', 'salsa', 'salsa international']
Arun Sarnaik;['marathi pop']
Annie Fischer;['historic piano performance', 'hungarian classical piano']
Marisa Sannia;['classic italian pop']
Johnny Alf;['bossa nova', 'bossa nova jazz', 'mpb', 'samba-jazz', 'velha guarda']
Peter Bocage;['new orleans jazz']
Georg Forster;['german renaissance', 'renaissance']
August Wenzinger;['viola da gamba']
Tommy Blom;['swedish rock-and-roll']
Robin Gibb;['classic uk pop', 'soft rock']
Shlomo Carlebach;['jewish pop', 'judaica']
Louise Homer;['vintage classical singing']
Sipra Bose;['hindustani vocal', 'indian classical']
Thomas Baltzar;['german baroque']
Alvin Cash;['chicago soul', 'instrumental soul']
Bill Thompson;['disney', 'movie tunes']
Lucha Reyes;['classic peruvian pop']
Lina Pagliughi;['italian soprano']
Johann Peter Pixis;['german romanticism']
Peter Igelhoff;['vintage schlager']
Mack Vickery;['vintage rockabilly']
Billy Cotton;['british dance band']
Anne Shelton;['british dance band']
Giuliano Bernardi;['italian tenor']
Yandé Codou Sène;['mbalax']
Bartolomeo Campagnoli;['classical era']
R. R. Patil;['indian instrumental']
Nicola Arigliano;['canzone napoletana', 'classic italian pop', 'swing italiano']
Heinrich Wilhelm Ernst;['czech classical', 'early romantic era']
Charley Lincoln;['country blues', 'piedmont blues']
Joe Loco;['lounge']
Lojze Slak;['slovenian folk', 'slovenian pop']
Gösta Snoddas Nordgren;['vintage swedish pop']
Luca Antonio Predieri;['baroque', 'italian baroque', 'italian opera']
Ingebrigt Davik;['barnemusikk']
Kenyon Hopkins;['space age pop']
Lou Stein;['honky-tonk piano']
Hannah Williams;['retro soul']
Rocky Roberts;['beat italiano', 'classic italian pop']
Ray Conniff;['adult standards', 'easy listening', 'lounge']
John Steel;['australian indie rock']
Antonio Scotti;['italian baritone', 'vintage classical singing']
Hetty King;['music hall']
Valborg Aulin;['post-romantic era', 'swedish classical']
Josh Graves;['bluegrass', 'instrumental bluegrass', 'traditional bluegrass']
Whoopee John;['polka']
Bellerofonte Castaldi;['italian baroque']
Morteza Neydavoud;['persian traditional', 'tar']
Georg Schumann;['german romanticism']
Willie Brady;['irish rebel song']
Manolo Muñoz;['bolero', 'mexican rock-and-roll']
John Stubblefield;['jazz saxophone']
Johann Christian Fischer;['classical era']
Fernando Valenti;['harpsichord']
Sebastian Aguilera de Heredia;['spanish renaissance']
Ishbel MacAskill;['scottish gaelic folk']
John Mundy;['english renaissance']
Harry Beckett;['british jazz']
Andreas Dippel;['vintage classical singing']
Júnior;['broadway', 'show tunes', 'vocal jazz']
Ik-Hwan Bae;['korean classical performance']
Irakli Charkviani;['georgian alternative', 'georgian pop']
Pascual Marquina Narro;['post-romantic era']
Bernie McGann;['australian jazz']
Leonard Nimoy;['comic', 'outsider']
Gabrielle Roth;['shamanic']
Bobby Nunn;['boogie']
Andrea Bernasconi;['galante era']
Ral Donner;['doo-wop']
Dalva de Oliveira;['samba', 'velha guarda']
Saint George;['classical era']
Sayed Mekawy;['classic arab pop']
Streamline Ewing;['jazz trombone']
Nicola Zaccaria;['classical bass', 'opera']
Caterina Mancini;['italian soprano']
Johann Christoph Bach;['classical era']
Carlos;['champeta', 'colombian pop', 'latin', 'latin pop', 'tropical', 'vallenato']
Lord Melody;['calypso']
Francesco Graziani;['italian baritone']
Stewart Macpherson;['oratory']
James Nares;['galante era']
Lin Youren;['chinese traditional', 'guqin']
Louis Coerne;['american modern classical']
Siegfried Ochs;['german romanticism']
Thomas Adams;['victorian britain']
Franco Bracardi;['italian library music']
George Cates;['deep adult standards']
Johnny Lytle;['jazz vibraphone', 'soul jazz']
Steve Gray;['library music', 'spytrack']
Sol Hoʻopiʻi;['steel guitar', 'ukulele']
Erwin Lehn;['german jazz']
Johnny St. Cyr;['new orleans jazz']
Willie Kent;['chicago blues', 'electric blues']
Hans Ulrich Engelmann;['german contemporary classical']
Stanisław Barcewicz;['historic classical performance']
Lafayette Leake;['boogie-woogie', 'piano blues']
Dimitri Arakishvili;['caucasian classical']
Ludwig Berger;['early romantic era']
Murray Grand;['cabaret']
Sunny Skylar;['tin pan alley']
Emilie Zumsteeg;['early romantic era', 'german romanticism']
Blanche Arral;['vintage classical singing']
Eddie Mapp;['country blues', 'harmonica blues']
Irena Jarocka;['classic polish pop']
Purshottam Das Jalota;['bhajan']
Oldřich František Korte;['czech contemporary classical']
Dick Farney;['bossa nova', 'velha guarda']
Al Debbo;['afrikaans']
Sesto Bruscantini;['classical baritone', 'italian bass', 'opera']
Edmonia Henderson;['traditional blues']
Rafael Frühbeck de Burgos;['spanish classical']
Algernon Ashton;['british modern classical']
Larry Shields;['jazz clarinet']
Alexander Arutiunian;['caucasian classical']
Antonio Molina;['copla', 'rumba']
Alasdair Gillies;['bagpipe', 'traditional scottish folk']
Ariel Camacho;['corrido', 'nuevo regional mexicano', 'regional mexican', 'sierreno']
Rodel Naval;['classic opm']
Arne Bendiksen;['classic norwegian pop']
George Lashwood;['music hall']
Malani Bulathsinhala;['classic sinhala pop']
Helen Miller;['contemporary gospel']
Rudy Vallée;['british dance band', 'vintage jazz']
Michael Holliday;['deep adult standards', 'merseybeat', 'rock-and-roll']
Stanyslav Lyudkevych;['ukrainian classical']
Tomasz Szukalski;['polish jazz']
Charles Ives;['american modern classical', 'avant-garde', 'classical', 'early modern classical', 'outsider', 'post-romantic era']
Johann I;['classical', 'late romantic era', 'operetta']
Layne Redmond;['kirtan']
Alice Faye;['torch song', 'vintage hollywood']
Pia Tassinari;['italian mezzo-soprano']
Ben Bernie;['vintage jazz']
Carmelo Bernaola;['spanish contemporary classical']
Henri Albers;['vintage classical singing']
Philippe Clay;['vintage chanson']
Violet Gordon-Woodhouse;['harpsichord']
Léon Escalaïs;['vintage classical singing']
Adriana Guerrini;['italian soprano']
Manuel García;['cantautor', 'chilean indie', 'chilean rock', 'latin rock', 'nueva cancion', 'nueva trova chilena', 'pop chileno', 'trova']
Adolph Deutsch;['classic soundtrack']
William Waterhouse;['classical bassoon']
Sonny Okosun;['african reggae', 'afrobeat', 'highlife']
Jorge Galemire;['canto popular uruguayo']
Hamilton Camp;['american folk revival']
Per Grundén;['vintage swedish pop']
John Bingham;['british classical piano']
Lucho Barrios;['nueva cancion']
Aleksander Michałowski;['historic piano performance', 'polish classical', 'polish classical piano']
Konrad Ruhland;['gregorian chant']
Oskar Lindberg;['swedish classical']
Leo Smit;['avant-garde jazz', 'contemporary jazz', 'free improvisation', 'free jazz', 'jazz trumpet', 'tzadik']
Blind Joe Reynolds;['deep delta blues', 'traditional blues']
Pál Szécsi;['classic hungarian pop']
Franz Bendel;['german romanticism']
Gordon Duncan;['bagpipe']
Master Blaster;['bubblegum dance', 'eurodance', 'europop', 'hands up']
Bill Coday;['southern soul', 'southern soul blues']
Edric Connor;['nyahbinghi']
Walter Haynes;['steel guitar']
Thomas Pitfield;['british modern classical']
Luis Pérez Meza;['mariachi', 'ranchera']
Johann Baptist Wendling;['galante era']
E. T. Mensah;['highlife']
Karl Moik;['volksmusik']
Poornachandra Tejaswi;['sandalwood']
Antonio Lolli;['galante era']
Victor Capoul;['vintage classical singing']
Jindřich Feld;['czech contemporary classical']
Michael Chapman;['british folk', 'drone folk', 'folk rock', 'traditional folk', 'yorkshire folk']
Harry Hibbs;['nl folk']
Karel Duba;['classic czech pop']
Cheb Aziz;['rai']
Tony Meehan;['rock drums']
Muslim Magomayev;['azeri pop', 'bard', 'classic russian pop', 'russian rock']
Judy Garland;['adult standards', 'hollywood', 'lounge', 'torch song', 'vocal jazz']
Juke Boy Bonner;['blues', 'texas blues']
Gianna Pederzini;['italian mezzo-soprano']
Lynden David Hall;['british soul', 'neo soul']
Norman Bailey;['classical bass']
Rocío Dúrcal;['bolero', 'cancion melodica', 'latin', 'latin pop', 'ranchera']
Michael Christian Festing;['galante era']
Angela Morley;['light music']
Shang Xiaoyun;['chinese opera']
Lloyd Charmers;['early reggae', 'rock steady']
Heinrich Schwemmer;['german baroque']
Jens Book-Jenssen;['classic norwegian pop']
R. M. Hare;['irish fiddle', 'jig and reel']
Angèle Arsenault;['chanson quebecois', 'musique acadienne', 'musique pour enfant quebecois']
Laurie Anders;['art pop', 'art rock', 'bow pop', 'compositional ambient', 'experimental', 'experimental pop', 'experimental vocal', 'laboratorio']
Twinkle;['sleep']
Pixie Williams;['classic nz pop']
Nazzareno De Angelis;['italian bass']
Set Svanholm;['classical tenor']
Adrien Barthe;['late romantic era']
Romey Gill;['bhangra', 'punjabi pop']
Dan Spătaru;['romanian rock']
Johannes Matthias Sperger;['classical era']
Carl Gottlieb Reissiger;['german romanticism']
Gerard Victory;['irish classical']
Fatime Sokoli;['albanian folk']
Inbal Perlmuter;['israeli rock']
Pasquale Amato;['vintage classical singing']
Francy Boland;['big band']
Wilson Simonal;['bossa nova', 'mpb', 'pagode', 'samba', 'tropicalia', 'velha guarda']
Boris Lyatoshinsky;['ukrainian classical']
Al Lewis;['bass trap', 'electronic trap', 'traprun', 'vapor twitch']
Hamako Watanabe;['ryukoka']
Neşet Ertaş;['baglama', 'bozlak', 'oyun havasi', 'turkish folk']
Slim Rhodes;['arkansas country']
Lil Phat;['baton rouge rap', 'deep southern trap', 'dirty south rap', 'trap']
Ole Bull;['norwegian classical']
Johnny Coles;['jazz trumpet']
Jean Ferrat;['chanson', 'french pop']
Émile Benoît;['nl folk']
William Thomas McKinley;['contemporary classical', 'early modern classical']
Ramnad Krishnan;['carnatic', 'carnatic vocal', 'indian classical']
João Nogueira;['samba']
Johann Samuel Beyer;['german baroque']
Miguel Montero;['tango', 'vintage tango']
Lucia Valentini Terrani;['classical mezzo-soprano', 'italian mezzo-soprano']
Peppermint Harris;['jump blues']
Pierre van Maldere;['galante era']
Umanji;['south african jazz']
Alain Marion;['classical flute']
Stefano Pavesi;['italian opera']
Philip Sainton;['classic soundtrack']
Carlos d'Alessio;['french soundtrack']
Janine Micheau;['classical soprano']
Wojciech Żywny;['polish classical']
Eddie Cano;['space age pop']
Merl Saunders;['jam band']
Engel Lund;['icelandic traditional']
Eduard Khil;['classic russian pop']
Jimmy Gourley;['jazz guitar']
Fenton Robinson;['blues', 'electric blues', 'louisiana blues', 'swamp blues']
Gérard Rinaldi;['french movie tunes']
Steve Mann;['drone folk']
Frank Carter;['modern alternative rock', 'modern rock']
Sophie Carmen Eckhardt-Gramatté;['canadian classical']
Grigoris Asikis;['rebetiko']
David Hemmings;['classic psychedelic rock']
John Banister;['english baroque']
Anton van Rooy;['vintage classical singing']
Marl Young;['kansas city hip hop']
Ray Still;['classical oboe']
Vassilis Tsitsanis;['bouzouki', 'laiko', 'rebetiko']
José Guardiola;['cancion melodica', 'spanish invasion']
Kate Loder;['early romantic era']
Stoner;['rap', 'trap']
Willy Schneider;['kolsche karneval', 'vintage schlager']
Bernardo de Muro;['italian tenor']
Albert Campbell;['vaudeville']
Werner Haas;['german classical piano']
Nelson Cavaquinho;['bossa nova', 'choro', 'mpb', 'pagode', 'samba', 'velha guarda']
Moe Keale;['hawaiian']
Johnny Mercer;['adult standards', 'big band', 'easy listening', 'lounge', 'swing', 'tin pan alley', 'vocal jazz']
Percy Kahn;['historic classical performance']
Billy More;['italo dance']
James Brown;['funk', 'motown', 'soul']
Gabriel Dupont;['french romanticism', 'impressionism', 'post-romantic era']
Ria Bartok;['ye ye']
Keef Hartley;['blues rock', 'british blues', 'psychedelic blues-rock', 'psychedelic rock']
Mohamed Jamoussi;['classic tunisian pop']
Joe Jones;['indie jazz', 'indie soul', 'neo r&b', 'uk contemporary jazz']
Margherita Grandi;['italian soprano']
Rahim Fahimuddin Dagar;['dhrupad', 'hindustani vocal', 'indian classical']
Cherifa;['kabyle', 'rai']
Dick Charles;['reading']
Héctor Varela;['bandoneon', 'orquesta tipica', 'tango', 'vintage tango']
Conrad Friedrich Hurlebusch;['german baroque']
Goce Nikolovski;['macedonian folk']
Larry Adler;['harmonica jazz']
Bénigne de Bacilly;['french baroque']
Johann Christoph Pezel;['baroque', 'bohemian baroque', 'german baroque']
Sigrid Arnoldson;['vintage classical singing']
Christine Charbonneau;['auteur-compositeur-interprete quebecois']
Rosa King;['merengue']
Sidney Miller;['samba', 'velha guarda']
Goebel Reeves;['yodeling']
Maurice Gibb;['soft rock']
Lydia Mendoza;['tejano']
Edyth Walker;['vintage classical singing']
Carl Hardebeck;['irish classical']
Derek Hammond-Stroud;['classical baritone']
Mohamed Rouicha;['chaabi marocain', 'classic moroccan pop', 'rai']
Richard A. Whiting;['tin pan alley']
Oleg Kagan;['violin']
Josef Suk;['classical', 'czech classical', 'post-romantic era']
Richard Hale;['canadian folk']
Pepe Marchena;['cante flamenco', 'copla']
Hansl Krönauer;['alpine yodeling', 'volksmusik']
Raju Ananthaswamy;['kannada bhava geethe']
Michel Warlop;['jazz violin']
Firoza Begum;['bangla']
James Friskin;['british classical piano']
Felix Woyrsch;['german romanticism']
Józef Wieniawski;['polish classical']
Major Lance;['beach music', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'northern soul', 'rhythm and blues', 'soul']
Clamor Heinrich Abel;['german baroque']
Connie Haines;['deep motown']
Big Daddy Kinsey;['chicago blues']
José Asunción Flores;['latin classical']
Bud Green;['southern gospel']
Uña Ramos;['andean flute', 'folclore jujeno', 'musica andina']
Carroll Gibbons;['british dance band']
Joseph Payne;['harpsichord', 'historical keyboard']
Giuseppe Valdengo;['italian baritone']
David Kellner;['german baroque']
Flora Perini;['italian mezzo-soprano']
Joel Engel;['israeli classical']
Conrad Baden;['norwegian classical']
Fernando Valades;['bolero']
Giovanni Battista Bassani;['baroque', 'italian baroque']
Frank Churchill;['disney', 'movie tunes']
George W. Johnson;['vaudeville']
Gladys Ripley;['classical contralto']
Manik Varma;['hindustani vocal', 'indian classical', 'marathi traditional']
Povl Kjøller;['bornesange', 'classic danish pop', 'danish pop rock']
Tommy Durden;['song poem']
Don Davis;['classic soundtrack', 'scorecore', 'soundtrack']
Gerardo Gandini;['latin classical']
Werner Wolf Glaser;['swedish contemporary classical']
Léonce;['experimental club', 'grimewave']
Babik Reinhardt;['gypsy jazz', 'jazz guitar']
Anne Øland;['nordic classical piano']
Luis Aguilé;['pop romantico', 'spanish invasion']
Mani Krishnaswami;['carnatic', 'carnatic vocal', 'indian classical']
Enrique Jorrín;['cha-cha-cha']
Peter Hofmann;['classical tenor']
Tancredi Pasero;['italian bass']
Billy Butler;['chicago soul', 'northern soul']
Eddie Fisher;['adult standards', 'deep adult standards', 'easy listening', 'lounge']
Jacob of Serugh;['coptic hymn']
Carl Crack;['digital hardcore', 'sound collage']
John White;['alabama indie', 'indie folk', 'new americana']
Albert Sammons;['historic classical performance']
Deborahe Glasgow;['lovers rock']
C. Jérôme;['chanson', 'classic french pop']
Cleophus Robinson;['praise']
Antonio Cortis;['vintage classical singing']
Vesta Victoria;['music hall', 'vaudeville']
Adolphe Maréchal;['vintage classical singing']
Frankie Jaxon;['vintage swing']
Fathead;['canadian blues']
Johann II;['classical', 'late romantic era', 'operetta']
B. A. Rolfe;['vintage jazz']
Nechama Hendel;['classic israeli pop']
Rúnar Júlíusson;['classic icelandic pop']
Harry Lauder;['music hall', 'vaudeville']
Wladimiro Ganzarolli;['italian bass']
Berkant;['classic turkish pop']
Ravi;['desi hip hop', 'filmi', 'tamil hip hop']
Charles Griffes;['american modern classical', 'impressionism']
Violet Archer;['canadian indie']
Bobby Paunetto;['jazz vibraphone']
Joel Helleny;['jazz trombone']
Terry Bonchaka;['azonto', 'hiplife']
R. K. Srikantan;['carnatic vocal', 'indian classical']
Lapiro de Mbanga;['makossa', 'zouglou']
Regina Smendzianka;['polish classical piano']
Friedrich Wilhelm Rust;['classical era']
Gino Sinimberghi;['italian tenor']
Roger Smalley;['australian classical', 'australian classical piano']
Bernard Greenhouse;['classical cello']
Krishna Kalle;['classic bollywood', 'marathi traditional']
Robert Young;['country pop']
Simone Battle;['talent show']
Frank Sinatra;['adult standards', 'easy listening', 'lounge']
West Nkosi;['south african jazz']
Patachou;['vintage chanson']
Paul Fox;['dub reggae', 'uk dub']
Blind Joe Taggart;['country gospel', 'deep delta blues', 'vintage country folk', 'vintage gospel']
Merl Lindsay;['country boogie']
Johnny Meijer;['jazz accordion', 'vintage dutch pop']
Yakov Flier;['russian classical piano']
Félia Litvinne;['vintage classical singing']
Harry Burleigh;['african-american classical', 'american romanticism']
Les Spann;['jazz flute']
Jan Gerard Palm;['antilliaanse folklore', 'late romantic era']
June Allyson;['vintage hollywood']
Jean Noté;['vintage classical singing']
Enrico Mainardi;['historic classical performance']
Marco Bordogni;['italian tenor']
Sam Spence;['library music', 'marching band']
Seán Potts;['uilleann pipes']
State of Bengal;['world fusion']
Meyer Kupferman;['serialism']
Elliot del Borgo;['concert band']
Hal McKusick;['jazz saxophone']
Mike Sammes;['vocal harmony group']
Svatopluk Havelka;['czech contemporary classical']
Edgar Manas;['caucasian classical']
Zubaida Khanum;['classic pakistani pop', 'ghazal', 'sufi']
Charles-Simon Catel;['french opera']
Dinah Shore;['adult standards', 'big band', 'deep adult standards', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']
Eddy Wally;['classic belgian pop']
Joe Hill;['memphis blues', 'one-person band']
Grover Mitchell;['jazz trombone']
Don Julian;['classic soul', 'rhythm and blues', 'souldies']
Jack Ross;['chicago soul']
James Cavanaugh;['yacht rock']
Carmélia Alves;['baiao', 'forro', 'forro tradicional']
Peder Møller;['danish experimental', 'nordic ambient']
